annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,the brains behind,He is the brains behind,<the brains behind the project>,"He is the brains behind the project, leading our team to success","she was <the brains behind the project>, coming up with innovative ideas","He is the brains behind the operation, manipulating the system","the computer was <the brains behind the project>, controlling all the automated processes",0.0,figurative : figurative : figurative,figurative,figurative,figurative,"used to refer to the person who originally invented a particular scheme, plan or idea",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,the calm before the storm,It was the calm before the storm,,It was the calm before the storm as I was nervously anticipating the news of the results,,It was the calm before the storm as the sky was especially quiet before the rain started pouring,,,ambiguous : figurative : literal,ambiguous,figurative,literal,an extremely peaceful atmosphere right before any serious incident or crisis,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,the devil is beating his wife,The devil is beating his wife.,,The devil is beating his wife because it's raining unexpectedly,,The devil is beating his wife because she disobeyed him,,,ambiguous : figurative : literal,ambiguous,figurative,literal,raining whereas the sun is shining.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,the die is cast,The die is cast,,The die is cast and it is too late to change our decision,,The die is cast as we have rolled it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"an unalterable decision has been reached, or step taken.",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,the early bird catches the worm,The early bird caught the worm,,"The early bird caught the worm, which was a metaphor for being successful as a reward for hard work",,"The early bird caught the worm, which was a feast to begin its morning",,,ambiguous : figurative : literal,ambiguous,figurative,literal,it refers to people who arrive earlier are the ones who get the best deals,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'ambiguous', 'literal']",False,the eleventh hour,They finished it at the eleventh hour,,"They finished it at the eleventh hour, proving that it was possible to complete it even under the most challenging time constraints",,"They finished it at 11 PM, which was the eleventh hour",,,ambiguous : figurative : literal,ambiguous,figurative,literal,at the very last minute before an event,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,the last straw,"It was the last straw"" ",,It was the last straw for me when he said that and I decided to call it quits,,It was the last straw on the camel's back and it tipped over,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be the last in a sequence of unpleasant things,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,the lion's den,They walked into the lion's den,,They walked into the lion's den despite the threats and intimidations,,They walked into the lion's den and were confronted by the animal,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a place which is uncomfortable,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",True,the other side of the coin,Let's consider the other side of the coin,,Let's consider the other side of the coin before making a decision,,Let's consider the other side of the coin in order to have a full view of the design,,,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,"the opposite aspect, contrasting arguments.",False,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,the sun rises and sets on them,She thinks the sun rises and sets on them,<the sun rises and sets on them>,She thinks the sun rises and sets on them because they are her world,she adores her children so much that <the sun rises and sets on them> in her eyes,She thinks the sun rises and sets on them because they live in a village near the equator,"living on a remote island, <the sun rises and sets on them> every day",0.0,figurative : figurative : literal,figurative,figurative,literal,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",False,throw in the towel,He threw in the towel,,He threw in the towel when it became clear that he could not achieve victory,,He threw in the towel because he was sweating too much,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to quit,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,throw it over the wall,We threw it over the wall,,We threw it over the wall to make someone else responsible for it,,We threw it over the wall so it ended up in the neighbor's yard,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination",False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,throw the baby out with the bathwater,They threw the baby out with the bathwater.,<throw the baby out with the bathwater>,They threw the baby out with the bathwater when they decided to get rid of the entire program with no exceptions,"in their haste to modernize the company, they decided to <throw the baby out with the bathwater> and discard valuable traditions",They threw the baby out with the bathwater when they finished giving the baby a bath,it would be absurd to accidentally <throw the baby out with the bathwater> while emptying the tub,0.0,figurative : figurative : literal,figurative,figurative,literal,to remove something good in the bid of getting rid of something bad,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,tie the knot,They tied the knot,,They tied the knot at the wedding ceremony,,They tied the knot when they used a rope to secure the boat in the marina,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to get married,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,tight spot,He was in a tight spot,,"He was in a tight spot with all his obligations from work, school and family",,He was in a tight spot as he was wedged in between two walls,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be in a very difficult situation,False,True
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,tighten belt,We were told to tighten our belt,,We were told to tighten our belt to save more money this year,,We were told to tighten our belt to fit better,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to save your money,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,tip of the iceberg,This is just the tip of the iceberg,,This is just the tip of the iceberg of the things I want to talk about,,"This is just the tip of the iceberg, the rest is hidden under the water",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to only know a very small part of the problem,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,to see the back of,I'm glad to see the back of them,<to see the back of the problem>,I'm glad to see the back of them as they have caused so much trouble,she was relieved <to see the back of the problem> after finding a solution,I'm glad to see the back of them since I can now see the other side,he had <to see the back of the problem> by flipping the paper over,0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to be glad that you no longer have to deal with someone,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'figurative']",False,to the core,He was impacted to the core,<shaken to the core>,He was impacted to the core after hearing the sad news,the news of the tragedy left her <shaken to the core>,He was impacted to the core after dropping his apple on the ground,the powerful earthquake had <shaken to the core> of the Earth,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,totally,False,False
