idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
no dice,not agree for something,"The children asked whether they could all go out for a camping trip, but no dice, their parents refused.",dict,0,frozenset({'dice'}),no dice,not agree for something,"The children asked whether they could all go out for a camping trip, but no dice, their parents refused.",,
no room to swing a cat,a very small place,How do you expect all four of us to stay in that room? There's no room to swing a cat in there.,dict,0,"frozenset({'swing', 'cat', 'room'})",no room to swing a cat,a very small place,How do you expect all four of us to stay in that room? There's no room to swing a cat in there.,,
off on the wrong foot,off to a bad start,Their relationship started off on the wrong foot when they had a huge misunderstanding.,dict,0,"frozenset({'off', 'wrong', 'foot'})",off on the wrong foot,off to a bad start,Their relationship started off on the wrong foot when they had a huge misunderstanding.,,
off the hook,free of a difficult situation,"Since it was his first offence, and a minor one at that, he was let off the hook with just a warning.",dict,0,"frozenset({'off', 'hook'})",off the hook,free of a difficult situation,"Since it was his first offence, and a minor one at that, he was let off the hook with just a warning.",,
off the record,an informal or unofficial statement,"I will give you the information regarding what really happened, but strictly off the record.",dict,0,"frozenset({'off', 'record'})",off the record,an informal or unofficial statement,"I will give you the information regarding what really happened, but strictly off the record.",,
on pins and needles,being anxious or nervous,We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide.,dict,1,"frozenset({'needl', 'pin'})",on pins and needles,being anxious or nervous,We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide.,pins and needles,to be very anxious or nervous about what is going to happen
on the same page,everyone in agreement,"Before we begin with the discussion, I want to make sure that all of us are on the same page.",dict,0,"frozenset({'same', 'page'})",on the same page,everyone in agreement,"Before we begin with the discussion, I want to make sure that all of us are on the same page.",,
out on the town,go out and enjoy yourself at one or more places in the town,All of us slept till late afternoon after we had a night out on the town and returned after dawn.,dict,0,"frozenset({'out', 'town'})",out on the town,go out and enjoy yourself at one or more places in the town,All of us slept till late afternoon after we had a night out on the town and returned after dawn.,,
pedal to the metal,do something at full speed,I need to submit this assignment in two days' time. I have to put pedal to the metal else I will miss the deadline.,dict,0,"frozenset({'metal', 'pedal'})",pedal to the metal,do something at full speed,I need to submit this assignment in two days' time. I have to put pedal to the metal else I will miss the deadline.,,
zenith of career or life,the highest pinnacle of a person's career or life,The birth of his daughter was the zenith of his life.,dict,0,"frozenset({'career', 'zenith', 'life'})",zenith of career or life,the highest pinnacle of a person's career or life,The birth of his daughter was the zenith of his life.,,
Young Turk,a young person who has many new ideas and wants a reform,Dan Mannix is one of the investment industry's Young Turks but his contact book bulges with seasoned veterans.,dict,0,"frozenset({'turk', 'young'})",Young Turk,a young person who has many new ideas and wants a reform,Dan Mannix is one of the investment industry's Young Turks but his contact book bulges with seasoned veterans.,,
unring the bell,"once something has been done you cannot run away from it, you can only face the aftermath","Remember Tom, you cannot unring the bell once you have sent out that mail.",dict,0,"frozenset({'bell', 'unr'})",unring the bell,"once something has been done you cannot run away from it, you can only face the aftermath","Remember Tom, you cannot unring the bell once you have sent out that mail.",,
