idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
up to the mark,to be good enough,"His performance was [[not quite up to the mark]], so he didn't get the promotion",The water level was [[not quite up to the mark]] on the measuring stick,"His performance was not quite up to the mark, so he didn't get the promotion",The water level was not quite up to the mark on the measuring stick,not quite up to the mark,Nicht ganz auf dem Niveau.,"Seine Leistung war nicht ganz auf dem Niveau, deshalb hat er die Beförderung nicht bekommen.",Der Wasserstand war nicht ganz auf der Markierung des Messstabs.,לא ממש מגיע לסטנדרט.,"הביצועים שלו לא היו לגמרי על הסף, כך שהוא לא קיבל את הקידום.",רמת המים לא הייתה מתאימה לסימון על מד המידה.
ups and downs,good times and bad times,"Throughout their marriage, they [[experienced ups and downs]] but remained committed","On the roller coaster, we [[experienced ups and downs]] as it twisted and turned","Throughout their marriage, they experienced ups and downs but remained committed","On the roller coaster, we experienced ups and downs as it twisted and turned",experienced ups and downs,hat Höhen und Tiefen erlebt.,"Während ihrer Ehe erlebten sie Höhen und Tiefen, blieben aber engagiert.","In der Achterbahn haben wir Höhen und Tiefen erlebt, als sie sich gedreht und gewendet hat.",חוֹוֶה עֲלוֹת וַירִידוֹת,"כל תקופת הנישואים שלהם, הם חוו רגעים טובים ורעים אך נשארו מחוייבים.","על הרכבת המתגלגלת, חווינו עליות וירידות כשהיא התכווצה וסיבכה."
use your loaf,To tell someone to use their brain more in analysing what they are doing.,[[They used their loaf]] to solve the complex puzzle,[[They used their loaf]] of bread to make sandwiches for lunch,They used their loaf to solve the complex puzzle,They used their loaf of bread to make sandwiches for lunch,They used their loaf,Sie haben ihren Kopf benutzt.,"Sie haben ihr Gehirn benutzt, um das komplexe Puzzle zu lösen.","Sie haben ihr Brotlaib benutzt, um Sandwiches für das Mittagessen zu machen.",הם השתמשו במוח שלהם,הם השתמשו במוח שלהם כדי לפתור את הפאזל המורכב.,הם השתמשו בכיכר הלחם שלהם כדי להכין סנדוויצ'ים לצהריים.
velvet glove,"a person who appears gentle, but is determined and inflexible underneath",The manager [[was wearing a velvet glove]] when he gently guided the team through the crisis,"At the costume party, she [[was wearing a velvet glove]] as part of her elegant outfit",The manager was wearing a velvet glove when he gently guided the team through the crisis,"At the costume party, she was wearing a velvet glove as part of her elegant outfit",was wearing a velvet glove,Er trug einen Samthandschuh.,"Der Manager trug einen Samthandschuh, als er das Team sanft durch die Krise führte.",Auf der Kostümparty trug sie als Teil ihres eleganten Outfits einen Samthandschuh.,היה לובש כפפת קטיפה,המנהל לבש כפפת קטיפה כשהוא הדריך את הצוות בעדינות דרך המשבר.,"במסיבת התחפושות, היא לבשה כפפת קטיפה כחלק מהתלבושת האלגנטית שלה."
voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",His environmental concerns were [[a voice in the wilderness]] among the industrialists,"While hiking alone, she suddenly heard [[a voice in the wilderness]] and got scared",His environmental concerns were a voice in the wilderness among the industrialists,"While hiking alone, she suddenly heard a voice in the wilderness and got scared",a voice in the wilderness,eine Stimme in der Wildnis,Seine Umweltbedenken waren eine Stimme in der Wildnis unter den Industriellen.,"Während sie alleine wanderte, hörte sie plötzlich eine Stimme in der Wildnis und bekam Angst.",קוֹל בַּמִּדְבָּר,הדאגות הסביבתיות שלו היו קול במדבר בקרב התעשיינים.,"בזמן הטיול לבד, היא שמעה פתאום קול במדבר והתבהלה."
vultures are circling,when something is in danger and its enemies are getting ready for the kill,"As the company's stock plummeted, [[the vultures are circling]] to buy it cheap","While observing the desert landscape, we noticed [[the vultures are circling]] above a carcass","As the company's stock plummeted, the vultures are circling to buy it cheap","While observing the desert landscape, we noticed the vultures are circling above a carcass",the vultures are circling,Die Geier kreisen.,"Als der Aktienkurs des Unternehmens abstürzte, kreisen die Geier, um es billig zu kaufen.","Während wir die Wüstenlandschaft beobachteten, bemerkten wir, dass die Geier über einem Kadaver kreisen.",הנשרים מסתובבים,"כפי שמניית החברה נפלה במחיר, הנשרים מסתובבים כדי לקנות אותה בזול.","בזמן שצופים בנוף המדבר, שמנו לב שהנשרים מסתובבים מעל גופת חיית מתה."
wag the dog,to divert attention from something that is bad,The politician [[was wagging the dog]] by creating a diversion from the scandal,The playful puppy [[was wagging the dog]] by grabbing its tail,The politician was wagging the dog by creating a diversion from the scandal,The playful puppy was wagging the dog by grabbing its tail,was wagging the dog,Der Schwanz wedelte mit dem Hund.,"Der Politiker lenkte von dem Skandal ab, indem er eine Ablenkung schuf.","Der verspielte Welpe wedelte mit dem Hund, indem er dessen Schwanz packte.",הכלב היה מניף את הזנב,הפוליטיקאי היה מניף את הכלב על ידי יצירת הסחה מהסקנדל.,הגור השובב היה מניף את הכלב על ידי לכידת זנבו.
want his head on a platter,when someone makes you so angry that you want them to be punished,She was so furious with him that she [[wanted his head on a platter]],The eccentric artist [[wanted his head on a platter]] for a macabre sculpture,She was so furious with him that she wanted his head on a platter,The eccentric artist wanted his head on a platter for a macabre sculpture,wanted his head on a platter,Er wollte seinen Kopf auf einem Tablett.,"Sie war so wütend auf ihn, dass sie seinen Kopf auf einem Tablett haben wollte.",Der exzentrische Künstler wollte seinen Kopf auf einem Tablett für eine makabere Skulptur haben.,רצה את ראשו על מגש,היא הייתה כל כך זועמת עליו עד שרצתה את ראשו על מגש.,האמן האקסצנטרי רצה את ראשו על מגש כדי ליצור פסל מקאברי.
wash dirty linen in public,discuss publicly matters that one should keep private,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,[[They washed their dirty linen in public]] at the outdoor laundromat,They washed their dirty linen in public by arguing about their personal issues on social media,They washed their dirty linen in public at the outdoor laundromat,They washed their dirty linen in public,Sie wuschen ihre schmutzige Wäsche in der Öffentlichkeit.,"Sie haben ihre schmutzige Wäsche in der Öffentlichkeit gewaschen, indem sie über ihre persönlichen Probleme in sozialen Medien gestritten haben.",Sie wuschen ihre schmutzige Wäsche in der Öffentlichkeit in der Außenwaschanlage.,הם כבו את בגדיהם המלוכלכים בפומבי.,הם כבו את בגדיהם המלוכלכים בפומבי על ידי תובנות על הנושאים האישיים שלהם ברשתות החברתיות.,הם כבו את בגדיהם המלוכלכים בפומבי במכונת הכביסה בחוץ.
wash hands of,abandon taking responsibility for someone or something,"After trying to help for months, they finally [[washed their hands of the situation]] and moved on",They [[washed their hands of the situation]] by using soap and water after touching something dirty,"After trying to help for months, they finally washed their hands of the situation and moved on",They washed their hands of the situation by using soap and water after touching something dirty,washed their hands of the situation,Sie haben ihre Hände von der Situation gewaschen.,"Nachdem sie monatelang versucht hatten zu helfen, haben sie schließlich die Hände von der Situation gewaschen und sind weitergezogen.","Sie wuschen sich mit Seife und Wasser die Hände von der Situation, nachdem sie etwas Schmutziges berührt hatten.",כבו את ידיהם מהמצב,"אחרי שניסו לעזור מספר חודשים, הם סוף סוף נפטרו מהמצב והמשיכו הלאה.",הם כבו את ידיהם מהמצב על ידי שימוש בסבון ובמים לאחר נגיעה במשהו מלוכלך.
