idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
wag the dog,to divert attention from something that is bad,The politician [[was wagging the dog]] by creating a diversion from the scandal,The playful puppy [[was wagging the dog]] by grabbing its tail,The politician was wagging the dog by creating a diversion from the scandal,The playful puppy was wagging the dog by grabbing its tail,was wagging the dog,Der Schwanz wedelte mit dem Hund.,"Der Politiker lenkte von dem Skandal ab, indem er eine Ablenkung schuf."
want his head on a platter,when someone makes you so angry that you want them to be punished,She was so furious with him that she [[wanted his head on a platter]],The eccentric artist [[wanted his head on a platter]] for a macabre sculpture,She was so furious with him that she wanted his head on a platter,The eccentric artist wanted his head on a platter for a macabre sculpture,wanted his head on a platter,Er wollte seinen Kopf auf einem Tablett.,"Sie war so wütend auf ihn, dass sie seinen Kopf auf einem Tablett haben wollte."
wash dirty linen in public,discuss publicly matters that one should keep private,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,[[They washed their dirty linen in public]] at the outdoor laundromat,They washed their dirty linen in public by arguing about their personal issues on social media,They washed their dirty linen in public at the outdoor laundromat,They washed their dirty linen in public,Sie wuschen ihre schmutzige Wäsche in der Öffentlichkeit.,"Sie haben ihre schmutzige Wäsche in der Öffentlichkeit gewaschen, indem sie über ihre persönlichen Probleme in sozialen Medien gestritten haben."
wash hands of,abandon taking responsibility for someone or something,"After trying to help for months, they finally [[washed their hands of the situation]] and moved on",They [[washed their hands of the situation]] by using soap and water after touching something dirty,"After trying to help for months, they finally washed their hands of the situation and moved on",They washed their hands of the situation by using soap and water after touching something dirty,washed their hands of the situation,Sie haben ihre Hände von der Situation gewaschen.,"Nachdem sie monatelang versucht hatten zu helfen, haben sie schließlich die Hände von der Situation gewaschen und sind weitergezogen."
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",The company [[hired a watchdog]] to monitor their financial transactions,They [[hired a watchdog]] to guard their property at night,The company hired a watchdog to monitor their financial transactions,They hired a watchdog to guard their property at night,hired a watchdog,heuerte einen Wachhund an.,"Das Unternehmen hat einen Wachhund eingestellt, um ihre Finanztransaktionen zu überwachen."
went through the mill,"you experience a very difficult period, or are exposed to rough treatment",They [[went through the mill together]] during the tough times in their relationship,The wheat [[went through the mill together]] to be ground into flour,They went through the mill together during the tough times in their relationship,The wheat went through the mill together to be ground into flour,went through the mill together,gingen zusammen durch die Mühle,Sie haben zusammen durch schwere Zeiten in ihrer Beziehung gehen müssen.
wet behind the ears,immature or poor skill,The new intern is [[still wet behind the ears]] and needs guidance,"After swimming, she was [[still wet behind the ears]] despite toweling off",The new intern is still wet behind the ears and needs guidance,"After swimming, she was still wet behind the ears despite toweling off",still wet behind the ears,noch grün hinter den Ohren,Der neue Praktikant ist noch grün hinter den Ohren und braucht Anleitung.
wet the baby's head,to have drink to celebrate the birth of a baby,"After the birth of their child, they invited friends over to [[wet the baby's head]] with a small celebration","During the baptism ceremony, the priest gently [[wet the baby's head]] with holy water","After the birth of their child, they invited friends over to wet the baby's head with a small celebration","During the baptism ceremony, the priest gently wet the baby's head with holy water",wet the baby's head,Benetze den Kopf des Babys.,"Nach der Geburt ihres Kindes luden sie Freunde ein, um mit einer kleinen Feier das Baby zu feiern."
whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy","When it comes to choosing a hobby, I believe in [[whatever floats my boat]]","I'm open to trying any buoyant object, [[whatever floats my boat]] on the lake","When it comes to choosing a hobby, I believe in whatever floats my boat","I'm open to trying any buoyant object, whatever floats my boat on the lake",whatever floats my boat,Was auch immer mir gefällt.,"Wenn es darum geht, ein Hobby zu wählen, glaube ich an alles, was mir Spaß macht."
wheels fall off,when a situation gets out of control and everything starts to go wrong,"After a series of setbacks, [[the wheels fell off]] our project","Due to a manufacturing defect, [[the wheels fell off]] the toy car","After a series of setbacks, the wheels fell off our project","Due to a manufacturing defect, the wheels fell off the toy car",the wheels fell off,Die Räder fielen ab.,Nach einer Reihe von Rückschlägen fiel unser Projekt auseinander.
when the chips are down,when a situation is urgent or desperate.,He always comes through [[when the chips are down]] and we need him the most,The poker game gets intense [[when the chips are down]] on the table,He always comes through when the chips are down and we need him the most,The poker game gets intense when the chips are down on the table,when the chips are down,Wenn es hart auf hart kommt.,"Er steht uns immer zur Seite, wenn es hart auf hart kommt und wir ihn am meisten brauchen."
where the rubber meets the road,when you have to face your challenges,The new employee will face a real challenge [[where the rubber meets the road]] in the upcoming project,The intersection is [[where the rubber meets the road]] as cars pass by,The new employee will face a real challenge where the rubber meets the road in the upcoming project,The intersection is where the rubber meets the road as cars pass by,where the rubber meets the road,wo sich die Gummireifen auf der Straße treffen,"Der neue Mitarbeiter wird in dem bevorstehenden Projekt vor einer echten Herausforderung stehen, wo es darauf ankommt."
whistle in the dark,to try to hide your fear in a scary or dangerous situation,He [[was whistling in the dark]] when he tried to reassure us about the uncertain future,"While walking through the forest at night, she [[was whistling in the dark]] to keep her spirits up",He was whistling in the dark when he tried to reassure us about the uncertain future,"While walking through the forest at night, she was whistling in the dark to keep her spirits up",was whistling in the dark,Er pfiff im Dunkeln.,"Er pfiff im Dunkeln, als er versuchte, uns über die unsichere Zukunft zu beruhigen."
