idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
tight spot,to be in a very difficult situation,He was in a tight spot,ambiguous,"He was in a tight spot with all his obligations from work, school and family",figurative,He was in a tight spot as he was wedged in between two walls,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
tighten belt,to save your money,We were told to tighten our belt,ambiguous,We were told to tighten our belt to save more money this year,figurative,We were told to tighten our belt to fit better,literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
tip of the iceberg,to only know a very small part of the problem,This is just the tip of the iceberg,ambiguous,This is just the tip of the iceberg of the things I want to talk about,figurative,"This is just the tip of the iceberg, the rest is hidden under the water",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
to see the back of,to be glad that you no longer have to deal with someone,I'm glad to see the back of them,ambiguous,I'm glad to see the back of them as they have caused so much trouble,ambiguous,I'm glad to see the back of them since I can now see the other side,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
to the core,totally,He was impacted to the core,ambiguous,He was impacted to the core after hearing the sad news,figurative,He was impacted to the core after dropping his apple on the ground,ambiguous,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : ambiguous
tongue in cheek,"something said in humour, but with an act of being serious",He joked with a tongue in cheek,figurative,"He joked with a tongue in cheek, letting everyone know he was just being sarcastic",figurative,"He joked with a tongue in cheek, holding it in place while he spoke",literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
toot one's own horn,speak boastfully about oneself,I tooted my own horn,ambiguous,I tooted my own horn and told them proudly about my recent accomplishments,figurative,"I tooted my own horn and sounded a loud, proud note",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",He's the top dog,ambiguous,"He's the top dog of the business world, making the most influential decisions",figurative,He's the top dog as he always walks ahead of the other three dogs,ambiguous,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : ambiguous
tore your hair out,to be extremely agitated or distressed about something,She was tearing her hair out,ambiguous,She was tearing her hair out trying to figure out the cause of the problem,ambiguous,She was tearing her hair out literally as she grabbed a handful of strands,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
toss-up,a situation where the result is unclear and can go either way,It's a toss-up,figurative,It's a toss-up whether I should accept this job or not,figurative,It's a toss-up if this coin lands on heads or tails,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",FALSE,figurative : figurative : literal
treasure trove,a priceless or valuable discovery,The shed was a treasure trove,figurative,The shed was a treasure trove of memories from long ago,figurative,The shed was a treasure trove of jewelry and coins,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",FALSE,figurative : figurative : literal
troubled waters,a difficult phase of life,We are navigating troubled waters,ambiguous,We are navigating troubled waters as we speak to each other about our disagreements,figurative,We are navigating troubled waters as the boat violently rocks due to the storm,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
turn back on,choose not to speak to,I had to turn back on it,ambiguous,I had to turn back on it and accept the way it's supposed to be,figurative,I had to turn back on it to use it again,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'figurative']",FALSE,ambiguous : figurative : ambiguous
turn down a glass,to decline something that someone has offered.,She turned down a glass,ambiguous,She turned down a glass when the waiter offered her a drink; an indication that she didn't want to consume anything,literal,She turned down a glass when the waiter asked her if she wanted an extra glass,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : literal : literal
turn the tables,change your position with respect to someone else.,I turned the tables,ambiguous,"I turned the tables by speaking up for myself, showing them my true potential",figurative,I turned the tables to make sure they were aligned correctly before the game,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
twist arm,to make someone do what you want by making it difficult for them to refuse,"I had to twist his arm"" ",ambiguous,I had to twist his arm to go on the date with me,figurative,I had to twist his arm to get him out of the car,ambiguous,"['ambiguous', 'ambiguous', 'literal']","['ambiguous', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
two peas in a pod,practically identical in appearance,They were two peas in a pod,ambiguous,They were two peas in a pod because they were perfectly alike and shared the same interests,figurative,They were two peas in a pod when they were sitting in the same pod of peas,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,She was an ugly duckling,ambiguous,"She was an ugly duckling when she was young, but grew up to be quite a beautiful swan",ambiguous,"She was an ugly duckling when she was born, with her gray and white feathers",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters,ambiguous,We are in uncharted waters trying to solve this problem,figurative,We are in uncharted waters as there are no maps of this area yet,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
under fire,being shot at,He was under fire,ambiguous,He was under fire when his company was accused of fraud,figurative,He was under fire when he was under attack in the war,literal,"['ambiguous', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
under the radar,"going unnoticed, avoiding unnecessary attention",He managed to stay under the radar,ambiguous,He managed to stay under the radar and avoid gossip or criticism,figurative,He managed to stay under the radar to avoid detection by radar,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
up a creek without a paddle,being in trouble.,I'm up a creek without a paddle,ambiguous,I'm up a creek without a paddle since I don't have any plan of action,figurative,I'm up a creek without a paddle since I forgot to bring one for this incident,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
