idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
tip of the iceberg,to only know a very small part of the problem,The problems we discovered were [[just the tip of the iceberg]] in this company,"As we approached the glacier, we saw [[just the tip of the iceberg]] above the water",The problems we discovered were just the tip of the iceberg in this company,"As we approached the glacier, we saw just the tip of the iceberg above the water",just the tip of the iceberg,Nur die Spitze des Eisbergs.,"Die Probleme, die wir entdeckt haben, waren nur die Spitze des Eisbergs in diesem Unternehmen.","Als wir uns dem Gletscher näherten, sahen wir nur die Spitze des Eisbergs über dem Wasser.",רק קצה הקרחון,הבעיות שגילינו היו רק קצה הקרח בחברה זו.
to see the back of,to be glad that you no longer have to deal with someone,She was relieved [[to see the back of the problem]] after finding a solution,He had [[to see the back of the problem]] by flipping the paper over,She was relieved to see the back of the problem after finding a solution,He had to see the back of the problem by flipping the paper over,to see the back of the problem,Das Problem hinter sich lassen.,"Sie war erleichtert, als sie das Problem hinter sich lassen konnte, nachdem sie eine Lösung gefunden hatte.","Er musste die Rückseite des Problems sehen, indem er das Papier umdrehte.",לראות את הגב של הבעיה,היא הרגישה מרווחת לראות את הסוף של הבעיה לאחר שמצאה פתרון.
to the core,totally,The news of the tragedy left her [[shaken to the core]],The powerful earthquake had [[shaken to the core]] of the Earth,The news of the tragedy left her shaken to the core,The powerful earthquake had shaken to the core of the Earth,shaken to the core,erschüttert bis ins Mark,Die Nachricht von der Tragödie hat sie bis ins Mark erschüttert.,Das starke Erdbeben hatte den Kern der Erde erschüttert.,רעדה עד למרכז.,החדשות על הטרגדיה השאירו אותה מרוטטת עד למחיצה.
toot one's own horn,speak boastfully about oneself,He was always [[tooting his own horn]] about his accomplishments,"During the parade, he was [[tooting his own horn]] as part of the marching band",He was always tooting his own horn about his accomplishments,"During the parade, he was tooting his own horn as part of the marching band",tooting his own horn,seine eigene Trompete blasen,Er hat immer mit seinen Leistungen geprahlt.,Während der Parade blies er als Teil der Marschkapelle seine eigene Trompete.,מנגן על חצוצרתו.,הוא תמיד התגאה בהישגיו.
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","After years of hard work, she [[became the top dog]] in her company","At the dog show, her well-trained canine [[became the top dog]] among all the competitors","After years of hard work, she became the top dog in her company","At the dog show, her well-trained canine became the top dog among all the competitors",became the top dog,wurde der Spitzenreiter,Nach Jahren harter Arbeit wurde sie zur Spitzenkraft in ihrem Unternehmen.,Auf der Hundeausstellung wurde ihr gut ausgebildeter Hund zum Top-Hund unter allen Konkurrenten.,הפך לכלב המוביל,"לאחר שנים של עבודה קשה, היא הפכה לכלבה המובילה בחברתה."
tore your hair out,to be extremely agitated or distressed about something,You [[tore your hair out]] trying to solve that complex math problem,You accidentally [[tore your hair out]] while removing the tangled hairbrush,You tore your hair out trying to solve that complex math problem,You accidentally tore your hair out while removing the tangled hairbrush,tore your hair out,riss sich die Haare aus,"Du hast dir die Haare ausgerissen, um dieses komplexe Mathematikproblem zu lösen.",Du hast versehentlich beim Entfernen der verhedderten Haarbürste deine Haare herausgerissen.,קרעת את השיער שלך,קרעת את השיער שלך בניסיון לפתור את בעיה המתמטית המורכבת הזו.
treasure trove,a priceless or valuable discovery,"When they found the old library, [[they discovered a treasure trove]] of knowledge","While digging in the backyard, [[they discovered a treasure trove]] filled with gold coins","When they found the old library, they discovered a treasure trove of knowledge","While digging in the backyard, they discovered a treasure trove filled with gold coins",they discovered a treasure trove,Sie entdeckten einen Schatz.,"Als sie die alte Bibliothek fanden, entdeckten sie einen Schatz an Wissen.","Während sie im Hinterhof gruben, entdeckten sie eine Schatzkammer voller Goldmünzen.",הם גילו אוצר מטמון,"כאשר מצאו את הספרייה הישנה, הם גילו אוצר של ידע."
turn back on,choose not to speak to,[[She turned back on the situation]] when she refused to help her friend,[[She turned back on the situation]] to avoid witnessing the accident,She turned back on the situation when she refused to help her friend,She turned back on the situation to avoid witnessing the accident,She turned back on the situation,Sie wandte sich von der Situation ab.,"Sie wandte sich von der Situation ab, als sie sich weigerte, ihrer Freundin zu helfen.","Sie wandte sich von der Situation ab, um den Unfall nicht beobachten zu müssen.",היא הפכה על המצב.,היא הפכה על המצב כשסרבה לעזור לחברתה.
turn down a glass,to decline something that someone has offered.,"At the party, he politely [[turned down a glass]] when offered a drink",She [[turned down a glass]] upside down to let it dry,"At the party, he politely turned down a glass when offered a drink",She turned down a glass upside down to let it dry,turned down a glass,abgelehnt ein Glas,"Auf der Party lehnte er höflich ein Glas ab, als ihm ein Getränk angeboten wurde.","Sie drehte ein Glas umgedreht, um es trocknen zu lassen.",סירב לכוס,"במסיבה, הוא סירב באופן מקובל לכוס כשהוצע לו משקה."
twist arm,to make someone do what you want by making it difficult for them to refuse,She [[twisted his arm]] to convince him to join the party,"During the wrestling match, he accidentally [[twisted his arm]] and felt pain",She twisted his arm to convince him to join the party,"During the wrestling match, he accidentally twisted his arm and felt pain",twisted his arm,verdrehte seinen Arm,"Sie drehte ihm den Arm, um ihn zu überzeugen, der Party beizutreten.",Während des Ringkampfes verdrehte er versehentlich seinen Arm und verspürte Schmerzen.,כפף את הזרוע שלו,היא סיבכה את זרועו כדי לשכנע אותו להצטרף למסיבה.
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Her transformation from a shy girl to a confident woman was [[an ugly duckling story]],The children's book featured [[an ugly duckling story]] about a young bird finding its true identity,Her transformation from a shy girl to a confident woman was an ugly duckling story,The children's book featured an ugly duckling story about a young bird finding its true identity,an ugly duckling story,Eine hässliche Entlein Geschichte.,Ihre Verwandlung von einem schüchternen Mädchen zu einer selbstbewussten Frau war eine Geschichte vom hässlichen Entlein.,"Das Kinderbuch handelte von einer hässlichen Entlein-Geschichte, in der ein junger Vogel seine wahre Identität findet.",סיפור הברווז המכוער,ההמרה שלה מבחורה שעירה לאישה בטוחה הייתה סיפור של ברווז המכוער.
under the radar,"going unnoticed, avoiding unnecessary attention",He [[was working under the radar]] to avoid drawing attention to his project,The technician [[was working under the radar]] equipment to fix a malfunction,He was working under the radar to avoid drawing attention to his project,The technician was working under the radar equipment to fix a malfunction,was working under the radar,arbeitete unter dem Radar,"Er arbeitete unter dem Radar, um Aufmerksamkeit auf sein Projekt zu vermeiden.","Der Techniker arbeitete unter dem Radar-Equipment, um eine Fehlfunktion zu beheben.",עבדתי תחת הרדאר,הוא עבד תחת הרדאר כדי להימנע מלמשוך תשומת לב לפרויקט שלו.
up a creek without a paddle,being in trouble.,"When our car broke down in the middle of nowhere, we [[found ourselves up a creek without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a creek without a paddle]]","When our car broke down in the middle of nowhere, we found ourselves up a creek without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a creek without a paddle",found ourselves up a creek without a paddle,Wir haben uns in einer schwierigen Situation wiedergefunden.,"Als unser Auto mitten im Nirgendwo kaputt ging, befanden wir uns in einer ausweglosen Situation.",Beim Kanufahren haben wir versehentlich unsere Paddel fallen gelassen und befanden uns ohne Paddel in einer misslichen Lage.,מצאנו את עצמנו בנחל ללא משוט,"כשהרכב שלנו התקלקל באמצע הכיוון, מצאנו את עצמנו במצוקה ללא כלי שיט."
