idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
whistle in the dark,to try to hide your fear in a scary or dangerous situation,He [[was whistling in the dark]] when he tried to reassure us about the uncertain future,"While walking through the forest at night, she [[was whistling in the dark]] to keep her spirits up",He was whistling in the dark when he tried to reassure us about the uncertain future,"While walking through the forest at night, she was whistling in the dark to keep her spirits up",was whistling in the dark,"Miközben az erdőn sétált éjjel, fütyült a sötétben, hogy fenn tartsa a lelkiállapotát."
white paper,official report or guide,[[She read the white paper]] to understand the company 's new policy,[[She read the white paper]] to check for any ink smudges,She read the white paper to understand the company 's new policy,She read the white paper to check for any ink smudges,She read the white paper,"Olvasta a fehér papírt, hogy ellenőrizze, van-e rajta tintafolt."
whole nine yards,"everything, all of something",[[She went the whole nine yards]] to make his birthday special,"The fabric store required her to buy the fabric in bulk, so [[she went the whole nine yards]]",She went the whole nine yards to make his birthday special,"The fabric store required her to buy the fabric in bulk, so she went the whole nine yards",She went the whole nine yards,"Az anyagbolt kötelezte őt arra, hogy nagy mennyiségben vásárolja meg az anyagot, így végül mindent beleadott."
will never fly,there's no chance that something will work; to be unsuccessful,"He proposed a risky investment, but we knew [[that idea will never fly]] with the board","The broken-winged bird was injured, and sadly, [[that idea will never fly]] again","He proposed a risky investment, but we knew that idea will never fly with the board","The broken-winged bird was injured, and sadly, that idea will never fly again",that idea will never fly,"A sérült szárnyú madár megsérült, és sajnos az az ötlet sosem fog újra repülni."
wipe the slate clean,"to make a fresh start and forget all past offences, disagreements or mistakes","After a long discussion, they [[wiped the slate clean together]] and started fresh",The teacher and student [[wiped the slate clean together]] after the lesson,"After a long discussion, they wiped the slate clean together and started fresh",The teacher and student wiped the slate clean together after the lesson,wiped the slate clean together,A tanár és a diák együtt törölte le a táblát az óra után.
wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,Our team [[received a wooden spoon]] for finishing last in the competition,"As a gift for her new kitchen, she [[received a wooden spoon]] from her friend",Our team received a wooden spoon for finishing last in the competition,"As a gift for her new kitchen, she received a wooden spoon from her friend",received a wooden spoon,Ajándékként az új konyhájához barátjától egy fa kanalat kapott.
worm in the apple,the presence of something very bad in the best,"Despite the company's success, [[they found a worm in the apple]] when they discovered the corruption","While eating their fruit, [[they found a worm in the apple]] and felt disgusted","Despite the company's success, they found a worm in the apple when they discovered the corruption","While eating their fruit, they found a worm in the apple and felt disgusted",they found a worm in the apple,"Miközben ettek a gyümölcsükből, egy kukacot találtak az almában és undorodtak."
wouldn't be seen dead,to be too ashamed or embarrassed of something,"She [[wouldn't be seen dead in that]] outfit, as it was completely out of style","As a vampire, he [[wouldn't be seen dead in that]] garlic-infused restaurant","She wouldn't be seen dead in that outfit, as it was completely out of style","As a vampire, he wouldn't be seen dead in that garlic-infused restaurant",wouldn't be seen dead in that,Vámpírként nem látnák halottan sem abban a fokhagymás étteremben.
wrap in cotton wool,to be overprotective towards somebody,She was always [[wrapped in cotton wool]] by her overprotective parents,The fragile vase was [[wrapped in cotton wool]] before being placed in the box,She was always wrapped in cotton wool by her overprotective parents,The fragile vase was wrapped in cotton wool before being placed in the box,wrapped in cotton wool,"A törékeny váza pamutvattába volt csomagolva, mielőtt a dobozba került."
written all over face,when someone's feelings or thoughts are very clear,Her excitement was [[written all over her face]] when she received the good news,"The prankster had drawn doodles and words, which were [[written all over her face]], while she slept",Her excitement was written all over her face when she received the good news,"The prankster had drawn doodles and words, which were written all over her face, while she slept",written all over her face,"A tréfamester rajzokat és szavakat rajzolt az arcára, miközben aludt."
