idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Egy táncversenyen a bírák emlékeztették a résztvevőket arra, hogy a tangóhoz két emberre van szükség.",댄스를 춤추려면 두 사람이 필요합니다.,갈등을 해결할 때는 두 사람이 필요하다는 것을 기억하세요.,댄스 대회에서 심사위원들은 참가자들에게 탱고를 출 때는 둘이 필요하다는 것을 상기시켰다.,"Cuando se trata de resolver conflictos, recuerda que se necesitan dos para bailar tango.","En una competencia de baile, los jueces recordaron a los participantes que se necesitan dos para bailar tango.",O ni bi o se nbe ni tango.,"Nitorina ni ipa lati fi ipele awon ija, gbe inu consideration pe o ni owo kan lati fi owo kan han."
tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,"A vadon virágmezőjén közöttük volt egy magas mák, amely magasabbra nyúlt, mint a többi.",그들 중에서 큰 꽃중 하나.,"그녀는 그들 중에서 키가 큰 파란초롱이었으며, 탁월한 성취로 항상 눈에 띄었습니다.",야생화 밭에서 그들 사이에는 나머지보다 더 높이 자라는 큰 양귀비가 있었다.,"Ella era una flor alta entre ellos, siempre destacándose con sus logros excepcionales.","En el campo de las flores silvestres, había una amapola alta entre ellas, alcanzando una altura mayor que el resto.",ori ọ̀rọ̀ tó ṣeé ṣíṣẹ́ lórí wọn.,"O ti wa ni ọdọ pupa kan ni wọn ni, tẹlẹ lọ si wọn ni pẹlu awọn iranlọwọ rẹ ti o ni gbogbo."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,"A festő hibát követett el, amikor ugyanazzal a kefével festette be őket, ahelyett hogy külön ecseteket használt volna minden színhez.",같은 브러시로 모두를 더럽히는 것으로.,모든 정치인을 같은 브러시로 칠하는 것은 불공정합니다.,화가는 각 색상마다 별도의 붓을 사용하는 대신 동일한 붓으로 모두를 칠하면서 실수를 했다.,Es injusto juzgar a todos los políticos por igualarlos con el mismo pincel.,El pintor cometió un error al usar la misma brocha para pintar en lugar de usar brochas separadas para cada color.,nitori pe won ni awo alawo kan.,O dabi iṣẹ́ju kan lati ṣe iṣẹ́ ọlọpọlọtiku ni gbogbo won ni oju kan.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,"Ő adta neki a saját gyógyszerét, amikor megkérte, hogy kóstolja meg a keserű italt, amit ő készített neki.",그녀는 그에게 그의 약을 먹여 보였다.,"그가 그녀를 속이려고 시도했을 때, 그녀는 그에게 다시 속이는 것으로 그의 맛을 보여주었다.",그녀는 그가 그녀를 위해 준비한 쓴 약을 시키며 그에게 그의 약을 맛보게 했다.,"Cuando intentó hacerle una broma, ella le dio una dosis de su propia medicina al hacerle una broma de vuelta.",Ella le dio una probada de su propia medicina haciéndolo probar la amarga mezcla que él había preparado para ella.,O ti fẹ́ si jẹ́ ọrọ̀ rẹ̀.,"Nigbati o ṣẹda lati fi ọrẹ rẹ ṣe ẹnu, o fi ọrẹ rẹ ṣe ẹnu lẹhin ti o fi ọrẹ rẹ ṣe ẹnu."
tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,"Ő szaggatta le a szövetdarabot, hogy javítólapot készítsen farmernadrágjához.",옷감에서 한 조각을 찢고 있었다.,상사는 가혹한 비판으로 우리 팀의 사기를 떨어뜨리고 있었다.,그녀는 청바지에 패치를 만들기 위해 천을 한 줄씩 찢고 있었다.,El jefe estaba desgarrando un pedazo de la tela del ánimo de nuestro equipo con sus duras críticas.,Ella estaba rasgando una tira de tela para hacer un parche para sus jeans.,ko siyan aṣọ kan lati inu aṣọ.,Oga naa ti o gbọ́n lẹ́nu ni ẹ̀rọ ti ẹ̀mí ilẹ̀ àwọn ará wa nípa awọn ìtànṣẹ́ rọra rẹ̀ nípa àwọn ìtànṣẹ́ rọra rẹ̀.
that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,"200 mérföld autózni egy csésze kávéért, az túlmegy egy egyszerű öröm határain.",그건 지나친 것 같아요.,그녀의 가족을 모욕하는 것은 지나치고 선을 넘은 것입니다.,커피 한잔을 위해 200마일을 운전하는 것은 단순한 즐거움을 위해서는 너무 멀리 가는 것이다.,Insultar a su familia fue demasiado lejos y cruzó la línea.,"Conducir 200 millas por una taza de café, eso es ir demasiado lejos por un placer simple.",Nitori naa ni o ti lọ sọrọ lọwọ.,Ipele awọn ọrẹ rẹ ni ọkan ti o ti lọ lati fara lọwọ atilẹyin ati ti o ti ṣe iṣẹ yii.
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,"Miután átlőttem a teniszlabdát a hálón, most már a te pályádon van a labda.",지금은 당신의 결정입니다.,내가 내 역할을 다 했으니 이제 당신이 결정을 내리는 것입니다.,"나는 테니스 공을 네트 너머로 쳤으니, 이제 공은 네 코트에 있어.","He hecho mi parte, ahora la pelota está en tu cancha para tomar la decisión.","Después de golpear la pelota de tenis por encima de la red, la pelota está ahora en tu campo.",Oju iku ni o wa ni iye awọn ọrọ rẹ bayi.,"Mo ti ṣe ẹrọ mi, ọlọpaa ni wọn ní ẹ̀rọ rẹ̀ bayi lati ṣe iṣẹ́tọ́rọ."
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,"Ahhoz, hogy focizz, el kell indítanod a labdát azzal, hogy rúgod.",공을 굴리기 시작하세요.,"회의를 시작하려면, 소개로 시작해야 합니다.","축구를 하려면, 공을 발로 차서 굴려야 합니다.","Para comenzar la reunión, necesitamos empezar con las presentaciones.","Para jugar al fútbol, debes hacer rodar la pelota pateándola.",gba ọkọlọ ayọkẹlẹ,"Fun awọn ọrọ-ọmọde, a nilo lati ṣe afikun awọn ọrọ-ọmọde pẹlu awọn eto."
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,"A színházi előadásban az a színész játszotta Sátánt, aki egy jelenetben ábrázolta, ahogy az ördög veri a feleségét.",악마가 그의 아내를 때리고 있다.,"해가 떠 있을 때 비가 내리기 시작했고, 사람들은 악마가 아내를 때리고 있다고 말했다.","연극 공연에서, 사탄 역을 맡은 배우는 악마가 아내를 때리는 장면을 연기했다.","Mientras el sol brillaba, empezó a llover, y la gente dijo que el diablo está golpeando a su esposa.","En la actuación teatral, el actor que interpretaba a Satanás actuó una escena donde el diablo está golpeando a su esposa.","Ijapa nla nlo re eje, omo ale yii nlo re eje.","Nitorina oorun ti o nira, o bẹrẹ si ni ojojumo, ati awọn eniyan ni won nso pe ẹṣu nṣe iya re."
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,"A dokumentumban láttuk, hogyan kapja el a korán kelő madár a férget, hogy az utódait táplálja.",일찍 일어나는 새가 벌레를 잡는다.,"그녀는 항상 새벽 5시에 일어나 작업을 효율적으로 마치며, 일찍 일어나는 새가 벌레를 잡는다는 것을 증명합니다.",다큐멘터리에서 우리는 일찍 일어나는 새가 어린 새를 먹이기 위해 벌레를 잡는 것을 보았습니다.,"Ella siempre se despierta a las 5 am y termina sus tareas eficientemente, demostrando que el que madruga, coge el gusano.","En el documental, vimos cómo el ave madrugadora atrapa el gusano para alimentar a sus crías.",ọmọ ènìyàn tó bá gbàgbé ọ̀rọ̀ rẹ̀ ló wà ní ìdí tí ò ní bàjẹ́ lọ.,"O sọnu ni ọ̀sán 5, ati ni ipa rẹ̀ ni aṣayan rẹ̀ ni o jẹ́ kò sí niwaju, nitori ẹ̀yẹ àrọ̀wọ́ ni ò ní jẹ́ kí ọdẹ ò bá ń tọ."
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,"Ő úgy döntött, hogy sétálni megy az éjszaka tizenegyedik órájában.",열한 시간에,그는 마감 시간 바로 직전에 프로젝트를 마쳤다.,그녀는 밤의 열한 시간에 산책을 가기로 결정했습니다.,"Terminó el proyecto en la hora undécima, justo antes de la fecha límite.",Ella decidió dar un paseo a la undécima hora de la noche.,ni awọn ọjọ kanla.,"O ti pari iṣẹ ni òjó kanmọ, nitori ojúewé."
