idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
the ball is in your court,the initiative for taking action lies with somebody,"I've done my part, [[the ball is in your court now]] to make the decision","After I hit the tennis ball over the net, [[the ball is in your court now]]","I've done my part, the ball is in your court now to make the decision","After I hit the tennis ball over the net, the ball is in your court now",the ball is in your court now,"Miután átlőttem a teniszlabdát a hálón, most már a te pályádon van a labda.",지금은 당신의 결정입니다.,내가 내 역할을 다 했으니 이제 당신이 결정을 내리는 것입니다.
the ball rolling,to start a conversation in a social setting,"To start the meeting, we need to [[get the ball rolling]] with introductions","To play soccer, you must [[get the ball rolling]] by kicking it","To start the meeting, we need to get the ball rolling with introductions","To play soccer, you must get the ball rolling by kicking it",get the ball rolling,"Ahhoz, hogy focizz, el kell indítanod a labdát azzal, hogy rúgod.",공을 굴리기 시작하세요.,"회의를 시작하려면, 소개로 시작해야 합니다."
the devil is beating his wife,raining whereas the sun is shining.,"While the sun was shining, it started raining, and people said [[the devil is beating his wife]]","In the theatrical performance, the actor playing Satan acted out a scene where [[the devil is beating his wife]]","While the sun was shining, it started raining, and people said the devil is beating his wife","In the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",the devil is beating his wife,"A színházi előadásban az a színész játszotta Sátánt, aki egy jelenetben ábrázolta, ahogy az ördög veri a feleségét.",악마가 그의 아내를 때리고 있다.,"해가 떠 있을 때 비가 내리기 시작했고, 사람들은 악마가 아내를 때리고 있다고 말했다."
the early bird catches the worm,it refers to people who arrive earlier are the ones who get the best deals,"She always wakes up at 5 am and finishes her tasks efficiently, proving that [[the early bird catches the worm]]","In the documentary, we saw how [[the early bird catches the worm]] to feed its young","She always wakes up at 5 am and finishes her tasks efficiently, proving that the early bird catches the worm","In the documentary, we saw how the early bird catches the worm to feed its young",the early bird catches the worm,"A dokumentumban láttuk, hogyan kapja el a korán kelő madár a férget, hogy az utódait táplálja.",일찍 일어나는 새가 벌레를 잡는다.,"그녀는 항상 새벽 5시에 일어나 작업을 효율적으로 마치며, 일찍 일어나는 새가 벌레를 잡는다는 것을 증명합니다."
the eleventh hour,at the very last minute before an event,"He finished the project [[at the eleventh hour]], just before the deadline",She decided to go for a walk [[at the eleventh hour]] of the night,"He finished the project at the eleventh hour, just before the deadline",She decided to go for a walk at the eleventh hour of the night,at the eleventh hour,"Ő úgy döntött, hogy sétálni megy az éjszaka tizenegyedik órájában.",열한 시간에,그는 마감 시간 바로 직전에 프로젝트를 마쳤다.
the last straw,to be the last in a sequence of unpleasant things,"When he insulted her cooking, [[that was the last straw]] and she decided to leave","After using all the other straws, [[that was the last straw]] in the box","When he insulted her cooking, that was the last straw and she decided to leave","After using all the other straws, that was the last straw in the box",that was the last straw,"Miután az összes többi szívószálat használtuk, az volt az utolsó a dobozban.",그것이 마지막 재앙이었다.,"그가 그녀의 요리를 모욕했을 때, 그것이 최후의 일이었고 그녀는 떠나기로 결정했다."
the lion's den,a place which is uncomfortable,"By confronting the angry mob, he [[entered the lion's den]] and risked his safety","As a zookeeper, she [[entered the lion's den]] to feed the animals","By confronting the angry mob, he entered the lion's den and risked his safety","As a zookeeper, she entered the lion's den to feed the animals",entered the lion's den,"Mint állatkerti gondozó, belépett az oroszlán ketrecébe, hogy megetesse az állatokat.",사자의 굴에 들어갔다.,분노한 군중과 대면하여 그는 사자의 굴에 들어가 자신의 안전을 위협했다.
the other side of the coin,"the opposite aspect, contrasting arguments.","Before making a decision, it's important to [[consider the other side of the coin]] and weigh the pros and cons","When flipping a quarter, you should [[consider the other side of the coin]] as well, since it has a 50% chance of landing","Before making a decision, it's important to consider the other side of the coin and weigh the pros and cons","When flipping a quarter, you should consider the other side of the coin as well, since it has a 50% chance of landing",consider the other side of the coin,"Amikor egy negyeddollárt dobunk, érdemes figyelembe venni a pénz másik oldalát is, mivel 50% esélye van annak, hogy arra esik.",동전의 반대면을 고려해보세요.,"결정을 내리기 전에, 상황의 양면을 고려하고 장단점을 따져보는 것이 중요합니다."
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She adores her children so much that [[the sun rises and sets on them]] in her eyes,"Living on a remote island, [[the sun rises and sets on them]] every day",She adores her children so much that the sun rises and sets on them in her eyes,"Living on a remote island, the sun rises and sets on them every day",the sun rises and sets on them,"Egy távoli szigeten élve, minden nap rájuk kel és rájuk nyugszik a nap.",그들에게 해는 떠오르고 지는 것입니다.,그녀는 자신의 아이들을 너무 사랑해서 그녀의 눈에는 해가 그들을 위해 떠오르고 지는 것 같다.
throw it over the wall,"to deal with part of a problem or project, then pass the responsibility to another person or department without any communication or coordination","After finishing the design, the team decided [[to throw it over the wall]] to the developers",He decided [[to throw it over the wall]] to get the ball back from the neighbor's yard,"After finishing the design, the team decided to throw it over the wall to the developers",He decided to throw it over the wall to get the ball back from the neighbor's yard,to throw it over the wall,"Úgy döntött, hogy áthajítja a falon, hogy visszaszerezze a labdát a szomszéd kertjéből.",그것을 벽 너머로 던지다.,"디자인을 마친 후, 팀은 개발자들에게 벽 너머로 던지기로 결정했다."
throw the baby out with the bathwater,to remove something good in the bid of getting rid of something bad,"In their haste to modernize the company, they decided to [[throw the baby out with the bathwater]] and discard valuable traditions",It would be absurd to accidentally [[throw the baby out with the bathwater]] while emptying the tub,"In their haste to modernize the company, they decided to throw the baby out with the bathwater and discard valuable traditions",It would be absurd to accidentally throw the baby out with the bathwater while emptying the tub,throw the baby out with the bathwater,"Abszurd lenne véletlenül a babát is kidobni a fürdővízzel együtt, amikor kiüríted a kádat.",아기와 물을 버리다.,그들은 회사를 현대화하기 위해 서두르다가 소중한 전통을 버리고 아기와 물을 함께 버리기로 결정했습니다.
