idiom,meaning
豪言壮语,heroic sayings; brave words
豹死留皮,a leopard's skin survives its body; the leopard dies but leaves his skin - as a man leaves his reputation
豺狼当道,evil person in power; jackals and wolves hold sway
豺狼成性,rapacious and ruthless; wolfish
貌合神离,seemingly in harmony but actually at variance; apparently acquiescing while being contrary
猫哭耗子,shed crocodile tears; the cat weeping over the dead mouse
负荆请罪,apologize; make an apology for one's wrong-doings
负重致远,be able to shoulder important tasks; carrying heavy burdens for a great distance
负隅顽抗,put up a desperate struggle; fight stubbornly with one's back to the wall
贫病交迫,suffering from both poverty and sickness; be sick as well as poor
贫嘴薄舌,garrulous and sharp-tongued; 
贫无立锥之地,utterly destitute; in extreme poverty
货真价实,one hundred percent; dyed-in-the-wool
贪得无厌,he insatiably greedy; avaricious
贪天之功,credit other people's achievements to oneself; have inordinate ambitions
贪图富贵,desire wealth and honor greatly; 
贪小失大,covet a little and lose a lot; penny wise and pound foolish
贪生怕死,clinging to life instead of braving death; no more than a coward
贪赃枉法,take bribes and bend the law; pervert justice for a bribe
贪污腐化,corruption and degeneration; 
责有攸归,cannot shift the blame onto others; responsibility rests where it belongs
责无旁贷,an inescapable duty; bounden duty
买空卖空,speculate on the rise and fall of prices; 
费力不讨好,get no thanks for one's hard work; do a hard but thankless job
费尽心机,painstakingly; make much ado
贻害无穷,cause endless trouble to future things; entail untold troubles
贻笑大方,be laughed at by experts; be laughed at by those who know
贻人口实,be a source of ridicule; expose oneself to ridicule
贿赂公行,give and take bribes openly; commit briberies undisguisedly
贼头贼脑,furtive; stealthy
贼喊捉贼,the devil rebuking a sin; cover oneself up by shouting with the crowd
贼去关门,lock the door after the thief has gone; lock the stable door when the horse is stolen
宾至如归,a home from home; make every guest feel at home
赏罚分明,be strict and fair in meting out rewards and punishments; 
赏心悦目,find the scenery pleasing both to the eye and the mind; 
赔了夫人又折兵,throw the helve after the hatchet; 
卖剑买牛,beat swords into ploughshares; selling one's swords to purchase oxen for farming - reformation of brigands
卖身投靠,basely offer to serve the enemy; barter away one's honor for somebody's patronage
质疑问难,raise doubts and difficult questions for discussion; 
赞不绝口,be full of praise; praise unceasingly
赤膊上阵,come out into the open; throw away all disguise
赤胆忠心,extreme loyalty; wholeheartedness
赤地千里,"a thousand li of barren land - a scene of utter desolation; thousands of miles of cracked, parched and deserted land"
赤手空拳,unarmed; with naked fists
赤子之心,utter innocence; the pure heart of a new-born baby
赫赫有名,well-renowned; illustrious
走马观花,take a brief look at; give a hurried and cursory glance
走投无路,be driven to the wall; have no way out
赴汤蹈火,go through hell; risk one's own life
起承转合,"introduction, elucidation of the theme, transition to another viewpoint and summing up - the four steps in the composition of an essay; "
起死回生,snatch a patient from the jaws of death; bring back to life
趁火打劫,take advantage of somebody's misfortune to do him harm; go on the scamp
趁热打铁,strike while the iron is hot; seize time by the forelock
超凡越圣,above the average and overtake the sages; of abstruse and profound attainment
超群绝伦,for surpassing those of one's fellows; preeminent
超尘拔俗,above the average; a well-cultivated mind
超然物外,keep out of; stay away from the scene of contention
越俎代庖,take another's job into one's own hands; poke one's nose into other's business
趔趄不前,hesitating whether to go forward or not; hobble along
赶尽杀绝,spare none; be ruthless
趋之若鹜,scramble for something; go after something like a flock of ducks
趋炎附势,curry favor with the powerful; play up to those in power
足智多谋,wise and full of stratagems; shifty
趾高气扬,head in the clouds; high and mighty
跋山涉水,travel across mountains and rivers; scale mountains and ford streams cross land and water
路遥知马力,"as a long road tests a horse's strength, so a long task proves a person's heart; "
跳梁小丑,contemptible rebel; petty burglar
踟蹰不前,hesitate to move forward; 
踵决肘见,down at the heels and out at the elbow; very poor
蹈常袭故,follow mere routine; be a slave to old methods of doing things
蹉跎岁月,idle away one's time; dally time away
踌躇不前,waver in determination; hesitate to move forward
踌躇满志,smug with pride; complacent
跃跃欲试,itch to have a go; itch for a try
身败名裂,one's personal reputation is ruined; be utterly discredited
身不由己,lose one's balance; in spite of oneself
身体力行,practice what one preaches; set an example by personally taking part
身临其境,personally go through a situation; be personally on the scene
身价百倍,skyrocket to fame; 
身教胜于言教,practice is better than precept; 
身强力壮,strong; sturdy
身先士卒,lead one's men in a charge; charge at the head of one's men
身在福中不知福,"not appreciate the happy life one enjoys; growing up in happiness, one often fails to appreciate what happiness really means"
身外之物,mere worldly possessions; external things
车到山前必有路,things will eventually sort themselves out; in the end things will mend
车水马龙,heavy traffic; an incessant stream of horses and carriages
车载斗量,plentiful; immense quantities
轩然大波,a great disturbance; a mighty uproar
软硬皆施,use both persuasion and force; act tough and talk soft
载歌载舞,"festively singing and dancing; now singing, now dancing"
轻描淡写,play down; mild comments
轻诺寡信,make promises easily but seldom keep them; who promises toe lightly is seldom able to live up to his words
轻歌曼舞,sing merrily and dance grace fully; soft songs and beautiful dances
轻举妄动,act rashly; impetuosity
轻装上阵,a forward with one's burdens discarded; come to the battlefront without any mental burdens
轻重倒置,put the trivial above the important; lack a sense of proportion
轻手轻脚,gingerly; softly
轻而易举,without making an effort; without striking a blow
轻于鸿毛,lighter than a feather - a death which is of no significance at all; 
辗转反侧,toss and turn restlessly; toss about
转败为胜,turn a defeat into a victory; score an upset
转祸为福,turn a calamity into a blessing; 
转危为安,pull through; be past danger
转弯抹角,beat about the bush; circumambulate
辙乱旗靡,utterly routed; crisscross chariot tracks and drooping banners - signs of an army in headlong flight
轰轰烈烈,stormy and heroic; resoundingly
辛辛苦苦,take great pains; work laboriously
迅雷不及掩耳,as sudden as lightning; with the suddenness of a thunderbolt
迎头痛击,deal a telling blow to somebody; head-on hammer-blows
迎头赶上,try hard to catch up; 
迎刃而解,solve problems or difficulties with the greatest ease; splits off as it meets the edge of the knife without efforts
